"Timestamp","¿Cree usted que es necesario el uso de un aplicativo móvil, para facilitar la comunicación con personas extranjeras; en el caso de no tener dominio del idioma?","¿Usted tiene conocimiento de algún aplicativo móvil que le permita mantener comunicación hablada con una persona en otro idioma, sin la necesidad de usted tener conocimiento del idioma que habla el receptor?","¿Cree usted que es necesario la creación de una aplicación que le permita la interpretación de la conversación para mantener una mejor comunicación con otra persona que hable un idioma diferente al suyo?","¿Cuál de las siguientes cree usted que debe tener mayor relevancia en la creación de la aplicación de interpretación de conversaciones a través de audios? (Puede seleccionar varios)","¿En qué plataforma le gustaría que se integre el aplicativo de interpretación de conversaciones a través de audios?"
"2017/11/26 11:37:38 AM EST","Sí","Sí","Sí","Rapidez en la traducción;Que sea fácil de usar","Play Store"
"2017/11/26 11:40:15 AM EST","Sí","No","Sí","Bonito diseño;Rapidez en la traducción;Que sea fácil de usar","Play Store"
"2017/11/26 11:41:25 AM EST","Sí","No","Sí","Bonito diseño;Rapidez en la traducción;Que sea fácil de usar","Play Store"
"2017/11/26 11:41:44 AM EST","Sí","No","Sí","Bonito diseño;Rapidez en la traducción;Que sea fácil de usar","Play Store"
"2017/11/26 11:42:13 AM EST","Sí","No","Sí","Bonito diseño;Rapidez en la traducción;Que sea fácil de usar","Play Store"
"2017/11/26 11:42:42 AM EST","Sí","No","Sí","Bonito diseño;Rapidez en la traducción;Que sea fácil de usar;Fácil acceso a la aplicación (Gratuidad)","Play Store"
"2017/11/25 12:00:49 PM EST","Sí","No","Sí","Rapidez en la traducción;Fácil acceso a la aplicación (Gratuidad)","Play Store"
"2017/11/25 12:08:30 PM EST","Sí","Sí","Sí","Rapidez en la traducción;Que sea fácil de usar","Play Store;Apple Store"
"2017/11/25 12:08:50 PM EST","Sí","Sí","Sí","Rapidez en la traducción;Que sea fácil de usar","Play Store;Apple Store"
"2017/11/25 12:09:37 PM EST","Sí","Sí","Sí","Rapidez en la traducción;Que sea fácil de usar;Fácil acceso a la aplicación (Gratuidad)","Play Store;Apple Store"
"2017/11/25 12:09:41 PM EST","Sí","No","Sí","Rapidez en la traducción;Que sea fácil de usar","Play Store"
